population,population_definition,source,source_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,telegram_off_platform,Telegram or private-channel coordination reference,5,5,8,51,0.277778,2.653846
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,tutorial_training_recruitment,"Tutorial, guide, or training content",5,5,12,47,0.227273,2.029412
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,email_access_takeover,Email-access-enabled account takeover,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",1,2,21,45,0.041667,1.045455
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,email_access_takeover,Email-access-enabled account takeover,fullz_identity_package,Fullz or identity package,2,1,9,57,0.166667,4.181818
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,email_access_takeover,Email-access-enabled account takeover,jurisdiction_localisation,Jurisdiction-specific bank or account reference,2,1,15,51,0.111111,2.705882
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,email_access_takeover,Email-access-enabled account takeover,mule_recruitment,Mule recruitment or account-holder solicitation,0,3,2,64,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,email_access_takeover,Email-access-enabled account takeover,telegram_off_platform,Telegram or private-channel coordination reference,0,3,13,53,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,email_access_takeover,Email-access-enabled account takeover,tutorial_training_recruitment,"Tutorial, guide, or training content",1,2,16,50,0.052632,1.352941
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",fullz_identity_package,Fullz or identity package,7,15,4,43,0.269231,1.995868
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",jurisdiction_localisation,Jurisdiction-specific bank or account reference,11,11,6,41,0.392857,2.029412
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",mule_recruitment,Mule recruitment or account-holder solicitation,2,20,0,47,0.090909,3.136364
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",telegram_off_platform,Telegram or private-channel coordination reference,10,12,3,44,0.4,2.412587
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",tutorial_training_recruitment,"Tutorial, guide, or training content",11,11,6,41,0.392857,2.029412
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,fullz_identity_package,Fullz or identity package,jurisdiction_localisation,Jurisdiction-specific bank or account reference,5,6,12,46,0.217391,1.84492
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,fullz_identity_package,Fullz or identity package,mule_recruitment,Mule recruitment or account-holder solicitation,1,10,1,57,0.083333,3.136364
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,fullz_identity_package,Fullz or identity package,telegram_off_platform,Telegram or private-channel coordination reference,6,5,7,51,0.333333,2.895105
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,fullz_identity_package,Fullz or identity package,tutorial_training_recruitment,"Tutorial, guide, or training content",6,5,11,47,0.272727,2.213904
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,jurisdiction_localisation,Jurisdiction-specific bank or account reference,mule_recruitment,Mule recruitment or account-holder solicitation,1,16,1,51,0.055556,2.029412
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,jurisdiction_localisation,Jurisdiction-specific bank or account reference,telegram_off_platform,Telegram or private-channel coordination reference,3,14,10,42,0.111111,0.936652
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,jurisdiction_localisation,Jurisdiction-specific bank or account reference,tutorial_training_recruitment,"Tutorial, guide, or training content",6,11,11,41,0.214286,1.432526
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,mule_recruitment,Mule recruitment or account-holder solicitation,telegram_off_platform,Telegram or private-channel coordination reference,2,0,11,56,0.153846,5.307692
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,mule_recruitment,Mule recruitment or account-holder solicitation,tutorial_training_recruitment,"Tutorial, guide, or training content",1,1,16,51,0.055556,2.029412
full_screened,All combined records evaluated by the deterministic screen,1. Dread,69,telegram_off_platform,Telegram or private-channel coordination reference,tutorial_training_recruitment,"Tutorial, guide, or training content",7,6,10,46,0.304348,2.18552
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,bank_log_sale,Compromised bank log sale or discussion,26,6,3,58,0.742857,2.605603
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,cashout_laundering_service,Cash-out or laundering service,8,24,1,60,0.242424,2.583333
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,8,24,6,55,0.210526,1.660714
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,email_access_takeover,Email-access-enabled account takeover,6,26,1,60,0.181818,2.491071
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,32,0,61,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,fullz_identity_package,Fullz or identity package,24,8,0,61,0.75,2.90625
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,jurisdiction_localisation,Jurisdiction-specific bank or account reference,12,20,1,60,0.363636,2.682692
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,mule_recruitment,Mule recruitment or account-holder solicitation,0,32,0,61,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,telegram_off_platform,Telegram or private-channel coordination reference,0,32,0,61,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_drop_sale,Bank drop sale or bank-drop infrastructure,tutorial_training_recruitment,"Tutorial, guide, or training content",12,20,0,61,0.375,2.90625
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,cashout_laundering_service,Cash-out or laundering service,8,21,1,63,0.266667,2.850575
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,6,23,8,56,0.162162,1.374384
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,email_access_takeover,Email-access-enabled account takeover,5,24,2,62,0.16129,2.29064
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,29,0,64,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,fullz_identity_package,Fullz or identity package,19,10,5,59,0.558824,2.538793
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,jurisdiction_localisation,Jurisdiction-specific bank or account reference,11,18,2,62,0.354839,2.713528
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,mule_recruitment,Mule recruitment or account-holder solicitation,0,29,0,64,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,telegram_off_platform,Telegram or private-channel coordination reference,0,29,0,64,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,bank_log_sale,Compromised bank log sale or discussion,tutorial_training_recruitment,"Tutorial, guide, or training content",12,17,0,64,0.413793,3.206897
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,cashout_laundering_service,Cash-out or laundering service,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,2,7,12,72,0.095238,1.47619
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,cashout_laundering_service,Cash-out or laundering service,email_access_takeover,Email-access-enabled account takeover,0,9,7,77,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,cashout_laundering_service,Cash-out or laundering service,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,9,0,84,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,cashout_laundering_service,Cash-out or laundering service,fullz_identity_package,Fullz or identity package,4,5,20,64,0.137931,1.722222
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,cashout_laundering_service,Cash-out or laundering service,jurisdiction_localisation,Jurisdiction-specific bank or account reference,2,7,11,73,0.1,1.589744
