population,population_definition,mapping_status,stage,label,definition,included_codes,denominator_n,unique_records_present_n,records_present_percent
full_screened,All combined records evaluated by the deterministic screen,exploratory_descriptive_grouping,account_access,Account access and takeover,Observed references to compromised bank access and recovery-channel control.,bank_log_sale; email_access_takeover,980,187,19.082
full_screened,All combined records evaluated by the deterministic screen,exploratory_descriptive_grouping,identity_and_receiving,Identity and receiving-account infrastructure,"Observed references to identity packages, bank drops, or solicited account holders.",bank_drop_sale; fullz_identity_package; mule_recruitment,980,185,18.878
full_screened,All combined records evaluated by the deterministic screen,exploratory_descriptive_grouping,coordination_and_trust,"Coordination, learning, and market trust","Observed references to private-channel coordination, tutorials, escrow, reputation, or scam-risk discourse.",escrow_trust_reputation; telegram_off_platform; tutorial_training_recruitment,980,230,23.469
full_screened,All combined records evaluated by the deterministic screen,exploratory_descriptive_grouping,monetisation_and_settlement,Monetisation and settlement,Observed references to cash-out services or cryptocurrency payment and conversion.,cashout_laundering_service; crypto_payment_or_conversion,980,185,18.878
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,exploratory_descriptive_grouping,account_access,Account access and takeover,Observed references to compromised bank access and recovery-channel control.,bank_log_sale; email_access_takeover,463,186,40.173
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,exploratory_descriptive_grouping,identity_and_receiving,Identity and receiving-account infrastructure,"Observed references to identity packages, bank drops, or solicited account holders.",bank_drop_sale; fullz_identity_package; mule_recruitment,463,185,39.957
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,exploratory_descriptive_grouping,coordination_and_trust,"Coordination, learning, and market trust","Observed references to private-channel coordination, tutorials, escrow, reputation, or scam-risk discourse.",escrow_trust_reputation; telegram_off_platform; tutorial_training_recruitment,463,229,49.46
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,exploratory_descriptive_grouping,monetisation_and_settlement,Monetisation and settlement,Observed references to cash-out services or cryptocurrency payment and conversion.,cashout_laundering_service; crypto_payment_or_conversion,463,185,39.957
