population,population_definition,source,source_denominator_n,markdown_present_n,ocr_present_n,markdown_and_ocr_present_n,neither_modality_present_n,code,label,source_positive_records_n,within_source_percent,all_sources_positive_records_n,source_share_of_positive_records
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,48,48,40,40,0,mule_recruitment,Mule recruitment or account-holder solicitation,2,4.167,9,0.222222
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,48,48,40,40,0,telegram_off_platform,Telegram or private-channel coordination reference,13,27.083,81,0.160494
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,1. Dread,48,48,40,40,0,tutorial_training_recruitment,"Tutorial, guide, or training content",17,35.417,104,0.163462
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,bank_drop_sale,Bank drop sale or bank-drop infrastructure,32,64.0,116,0.275862
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,bank_log_sale,Compromised bank log sale or discussion,29,58.0,177,0.163842
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,cashout_laundering_service,Cash-out or laundering service,9,18.0,118,0.076271
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,14,28.0,126,0.111111
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,email_access_takeover,Email-access-enabled account takeover,7,14.0,62,0.112903
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,0.0,120,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,fullz_identity_package,Fullz or identity package,24,48.0,124,0.193548
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,jurisdiction_localisation,Jurisdiction-specific bank or account reference,13,26.0,116,0.112069
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,mule_recruitment,Mule recruitment or account-holder solicitation,0,0.0,9,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,telegram_off_platform,Telegram or private-channel coordination reference,0,0.0,81,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,10. Tor Shop,50,49,41,41,1,tutorial_training_recruitment,"Tutorial, guide, or training content",12,24.0,104,0.115385
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,bank_drop_sale,Bank drop sale or bank-drop infrastructure,11,35.484,116,0.094828
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,bank_log_sale,Compromised bank log sale or discussion,15,48.387,177,0.084746
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,cashout_laundering_service,Cash-out or laundering service,3,9.677,118,0.025424
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,6,19.355,126,0.047619
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,email_access_takeover,Email-access-enabled account takeover,4,12.903,62,0.064516
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",20,64.516,120,0.166667
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,fullz_identity_package,Fullz or identity package,2,6.452,124,0.016129
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,jurisdiction_localisation,Jurisdiction-specific bank or account reference,12,38.71,116,0.103448
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,mule_recruitment,Mule recruitment or account-holder solicitation,0,0.0,9,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,telegram_off_platform,Telegram or private-channel coordination reference,1,3.226,81,0.012346
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,11. Legit Market,31,31,27,27,0,tutorial_training_recruitment,"Tutorial, guide, or training content",3,9.677,104,0.028846
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,bank_drop_sale,Bank drop sale or bank-drop infrastructure,2,33.333,116,0.017241
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,bank_log_sale,Compromised bank log sale or discussion,2,33.333,177,0.011299
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,cashout_laundering_service,Cash-out or laundering service,0,0.0,118,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,0,0.0,126,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,email_access_takeover,Email-access-enabled account takeover,0,0.0,62,0.0
