population,population_definition,denominator_n,code_a,label_a,code_b,label_b,code_a_present_n,code_b_present_n,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
full_screened,All combined records evaluated by the deterministic screen,980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,telegram_off_platform,Telegram or private-channel coordination reference,126,82,34,92,48,806,0.195402,3.224932
full_screened,All combined records evaluated by the deterministic screen,980,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,tutorial_training_recruitment,"Tutorial, guide, or training content",126,104,44,82,60,794,0.236559,3.290598
full_screened,All combined records evaluated by the deterministic screen,980,email_access_takeover,Email-access-enabled account takeover,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",62,121,13,49,108,810,0.076471,1.698214
full_screened,All combined records evaluated by the deterministic screen,980,email_access_takeover,Email-access-enabled account takeover,fullz_identity_package,Fullz or identity package,62,124,24,38,100,818,0.148148,3.059313
full_screened,All combined records evaluated by the deterministic screen,980,email_access_takeover,Email-access-enabled account takeover,jurisdiction_localisation,Jurisdiction-specific bank or account reference,62,117,40,22,77,841,0.28777,5.403915
full_screened,All combined records evaluated by the deterministic screen,980,email_access_takeover,Email-access-enabled account takeover,mule_recruitment,Mule recruitment or account-holder solicitation,62,9,0,62,9,909,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,980,email_access_takeover,Email-access-enabled account takeover,telegram_off_platform,Telegram or private-channel coordination reference,62,82,10,52,72,846,0.074627,1.927616
full_screened,All combined records evaluated by the deterministic screen,980,email_access_takeover,Email-access-enabled account takeover,tutorial_training_recruitment,"Tutorial, guide, or training content",62,104,20,42,84,834,0.136986,3.039702
full_screened,All combined records evaluated by the deterministic screen,980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",fullz_identity_package,Fullz or identity package,121,124,34,87,90,769,0.161137,2.220741
full_screened,All combined records evaluated by the deterministic screen,980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",jurisdiction_localisation,Jurisdiction-specific bank or account reference,121,117,34,87,83,776,0.166667,2.353606
full_screened,All combined records evaluated by the deterministic screen,980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",mule_recruitment,Mule recruitment or account-holder solicitation,121,9,5,116,4,855,0.04,4.499541
