source,keyword,file_count,hit_count
2. Altenen,usa,6,8
2. Altenen,vulnerable_groups,0,0
3. Pitch,australia_nz,1,20
3. Pitch,bank_drop,6,14
3. Pitch,bank_log,9,23
3. Pitch,bec,0,0
3. Pitch,canada,3,3
3. Pitch,cashout,13,51
3. Pitch,crypto,9,68
3. Pitch,email_access,8,16
3. Pitch,escrow_trust,10,15
3. Pitch,fullz_identity,6,10
3. Pitch,mule,2,9
3. Pitch,scam_market_risk,10,38
3. Pitch,telegram,10,17
3. Pitch,tutorial_training,13,61
3. Pitch,usa,7,15
3. Pitch,vulnerable_groups,0,0
4. Caders Heven,australia_nz,0,0
4. Caders Heven,bank_drop,6,18
4. Caders Heven,bank_log,6,6
4. Caders Heven,bec,0,0
4. Caders Heven,canada,0,0
4. Caders Heven,cashout,0,0
4. Caders Heven,crypto,1,3
4. Caders Heven,email_access,0,0
4. Caders Heven,escrow_trust,1,1
4. Caders Heven,fullz_identity,8,14
4. Caders Heven,mule,0,0
4. Caders Heven,scam_market_risk,0,0
4. Caders Heven,telegram,0,0
4. Caders Heven,tutorial_training,0,0
4. Caders Heven,usa,0,0
4. Caders Heven,vulnerable_groups,0,0
5. CardPro,australia_nz,0,0
5. CardPro,bank_drop,0,0
5. CardPro,bank_log,1,1
5. CardPro,bec,0,0
5. CardPro,canada,1,1
5. CardPro,cashout,4,65
5. CardPro,crypto,3,15
5. CardPro,email_access,0,0
5. CardPro,escrow_trust,1,2
5. CardPro,fullz_identity,1,1
5. CardPro,mule,1,3
5. CardPro,scam_market_risk,3,7
5. CardPro,telegram,4,14
5. CardPro,tutorial_training,1,1
5. CardPro,usa,2,24
5. CardPro,vulnerable_groups,0,0
6. The X Wave Market,australia_nz,2,7
6. The X Wave Market,bank_drop,8,29
6. The X Wave Market,bank_log,4,6
6. The X Wave Market,bec,0,0
6. The X Wave Market,canada,1,1
6. The X Wave Market,cashout,16,52
6. The X Wave Market,crypto,9,40
6. The X Wave Market,email_access,4,8
6. The X Wave Market,escrow_trust,26,56
6. The X Wave Market,fullz_identity,14,43
6. The X Wave Market,mule,0,0
6. The X Wave Market,scam_market_risk,3,6
6. The X Wave Market,telegram,0,0
6. The X Wave Market,tutorial_training,9,77
6. The X Wave Market,usa,13,46
6. The X Wave Market,vulnerable_groups,0,0
7. Meta Banklogs,australia_nz,3,8
7. Meta Banklogs,bank_drop,11,72
7. Meta Banklogs,bank_log,11,26
7. Meta Banklogs,bec,0,0
